Asia,Western Asia,Jordan,UN-CTS/WPB-ICPR,,,6378.00,6166.00,6633.00,7077.00,7206.00,8434.00,6262.00,7714.00,8000.00,10089.00,11489.00,,,,,111.62,103.91,107.10,109.05,105.64,117.43,82.67,96.51,95.09,114.53,125.44,
Asia,Central Asia,Kazakhstan,UN-CTS,,,52203.00,51544.00,,48270.00,50495.00,55140.00,49401.00,45335.00,42052.00,43220.00,42114.00,,,,,335.90,328.50,,301.67,312.00,336.24,296.75,267.92,244.39,247.14,237.27,
Africa,Eastern Africa,Kenya,UN-CTS/WPB-ICPR,,55000.00,50000.00,,,49092.00,48122.00,48153.00,51068.00,44522.00,53430.00,53537.00,54225.00,48500.00,,,156.81,138.70,,,125.40,119.60,116.45,120.20,102.01,119.19,116.32,114.80,100.03
Oceania,Micronesia,Kiribati,WPB-ICPR,,81.00,74.00,84.00,88.00,84.00,,90.00,,106.00,,120.00,146.00,129.00,,,89.46,80.15,89.12,91.37,85.33,,87.67,,99.43,,108.64,129.89,112.75
Europe,Southern Europe,Kosovo under UNSCR 1244,UN-CTS/WPB-ICPR,1182.00,1189.00,1199.00,1252.00,,,1325.00,1333.00,1441.00,1737.00,1776.00,1854.00,1478.00,1648.00,,69.39,69.75,70.29,72.81,,,75.22,75.07,80.46,96.22,97.36,101.77,82.03,90.74
Asia,Western Asia,Kuwait,WPB-ICPR,3700.00,,3500.00,,,,4045.00,4179.00,4100.00,,2900.00,3200.00,4000.00,5400.00,,170.58,,153.74,,,,143.49,139.39,128.48,,80.59,84.60,101.63,134.69
Asia,Central Asia,Kyrgyzstan,UN-CTS/WPB-ICPR,16934.00,16620.00,15758.00,15127.00,14408.00,9607.00,,9923.00,,9828.00,9997.00,9581.00,10147.00,10328.00,,337.85,329.90,310.48,295.06,277.63,182.56,,183.00,,175.68,175.89,165.92,173.00,173.50
Asia,South-Eastern Asia,Lao People's Democratic Republic,WPB-ICPR,,,,,,,,,,,,,8201.00,,,,,,,,,,,,,,,123.06,
Europe,Northern Europe,Latvia,UN-CTS,8305.00,8231.00,7646.00,6965.00,6548.00,6548.00,7055.00,6780.00,6561.00,6117.00,5136.00,4745.00,4409.00,,,360.18,361.19,339.52,313.00,297.84,301.49,328.86,319.99,313.55,296.03,251.67,235.35,221.26,
Asia,Western Asia,Lebanon,UN-CTS/WPB-ICPR,6382.00,5990.00,6921.00,6101.00,5870.00,4686.00,4901.00,5060.00,5169.00,5060.00,5393.00,6012.00,6320.00,,,172.42,155.05,173.60,150.37,143.64,113.99,117.16,116.67,112.65,102.92,102.22,107.29,108.01,
Africa,Southern Africa,Lesotho,UN-CTS/WPB-ICPR,,,2712.00,,2852.00,2594.00,2555.00,2498.00,,2564.00,,2073.00,,,,,,139.11,,143.87,129.70,126.53,122.42,,122.68,,96.61,,
